date,temp,humidity,wind_speed,rain_1h,snow_1h,clouds_all,Is_Holiday,sarima_forecast,ets_forecast,day_of_week
2022-08-01,21.955416666666665,76.0,1.8754166666666665,0.31,0.0,1541,1,48182.848839426355,44942.37144570541,Monday
2022-08-02,24.008333333333336,68.95833333333333,1.6629166666666666,0.0,0.0,1293,1,51431.670228314586,50974.46036672598,Tuesday
2022-08-03,27.089583333333337,60.0,1.6291666666666669,0.0,0.0,310,1,52981.93222532806,48365.77760286862,Wednesday
2022-08-04,23.155833333333337,71.625,2.892916666666667,5.18,0.0,1820,1,49599.7907729347,45327.35373674945,Thursday
2022-08-05,20.261666666666667,72.25,4.2941666666666665,0.0,0.0,899,1,52113.82880457018,49519.98341642415,Friday
2022-08-06,18.844166666666663,53.708333333333336,4.82625,0.0,0.0,175,1,54223.437372803564,50712.646942247244,Saturday
2022-08-07,20.575833333333332,51.875,4.9470833333333335,0.0,0.0,388,1,54502.12691953978,48122.54047140124,Sunday
2022-08-08,22.107083333333335,53.291666666666664,4.722916666666666,0.0,0.0,0,1,51531.22499443234,44942.37144570541,Monday
2022-08-09,23.745,55.125,4.455,0.0,0.0,0,1,53098.93226277915,50974.46036672598,Tuesday
2022-08-10,25.480416666666667,48.416666666666664,3.95125,0.0,0.0,76,1,53809.880037006515,48365.77760286862,Wednesday
2022-08-11,25.567916666666665,44.916666666666664,4.010833333333333,0.0,0.0,10,1,53437.997611054205,45327.35373674945,Thursday
2022-08-12,25.907916666666665,45.833333333333336,3.5875,0.0,0.0,0,1,55154.473821290194,49519.98341642415,Friday
2022-08-13,25.479166666666668,43.416666666666664,3.4762500000000003,0.0,0.0,439,1,56170.4331491026,50712.646942247244,Saturday
2022-08-14,21.548333333333332,67.08333333333333,4.2091666666666665,0.0,0.0,2331,1,53518.965958973764,48122.54047140124,Sunday
2022-08-15,20.282083333333333,84.25,3.2725000000000004,0.0,0.0,1593,1,48939.63852159125,44942.37144570541,Monday
2022-08-16,20.904583333333335,77.625,2.50125,0.0,0.0,2130,1,50831.53566954695,50974.46036672598,Tuesday
2022-08-17,20.151666666666667,77.25,2.1104166666666666,0.0,0.0,1887,1,50456.756080948246,48365.77760286862,Wednesday
2022-08-18,21.57375,70.54166666666667,2.361666666666667,0.0,0.0,2149,1,50352.95567912026,45327.35373674945,Thursday
2022-08-19,19.66875,83.66666666666667,3.806666666666666,0.0,0.0,1758,1,50316.64336765239,49519.98341642415,Friday
2022-08-20,18.896666666666665,75.625,2.3583333333333334,0.0,0.0,833,1,52237.400856742344,50712.646942247244,Saturday
2022-08-21,20.2125,67.66666666666667,2.025833333333334,0.0,0.0,1970,1,53819.22616480003,48122.54047140124,Sunday
2022-08-22,20.987083333333334,72.66666666666667,2.3595833333333336,0.0,0.0,1945,1,50772.885082515786,44942.37144570541,Monday
2022-08-23,22.892083333333332,70.79166666666667,1.86125,0.0,0.0,1768,1,52302.39205498146,50974.46036672598,Tuesday
